Product Name,Category Name,Reference Part Number,Description,SKU,Stok per tgl 18 May 2025,Lokasi Stok,,Notes
First Product,Category Name,"ABC11,EFG22,HIJ33",Product Description,ABC,,,,pastikan masing2 nama produk unik (tidak ada persamaan dengan data lainnya)
AIR FILTER,,,-,-,,,,pastikan kategori barang ada di database
3003621,Oil Separator,36214040 = 3621-4040,-,-,3,Jakarta,,
3004025,Oil Separator,DE 4025,-,-,2,Jakarta,,
3004033,Oil Separator, 2901-0779-00 = DE 4033 = 1622-0079-00,-,-,5,"4pcs Jakarta, 1pcs Solo",,
3004039,Oil Separator,2901-0079-01 = DE 4039,-,-,11,Jakarta,,
3004040,Oil Separator,29614040 = 2961-4040,-,-,1,Jakarta,,
3004045,Oil Separator,2901-1626-00 = 1622-3140-00 = DE 4045,-,-,5,"3pcs Jakarta, 2pcs Surabaya",,
3004046,Oil Separator,DE 4046 = 3001643 = 2901-1643-00 = 1622-6460-00,-,-,50,"47pcs Jakarta, 3pcs Surabaya",,
3004051,Oil Separator,DE 4051 = 2901-1626-00 = 2901-2055-00 = 1622-3140-01,-,-,13,"12pcs Jakarta, 2pcs Surabaya",,
3004052,Oil Separator,DE 4052,-,-,0,,,
3004811,Oil Separator,1625481100 = 1625-4811-00,-,-,1,Jakarta,,
3005004,Oil Separator,DF 5004 = 575000101 = LB 13 145/3,-,-,28,"21pcs Jakarta, 5pcs Surabaya, 2pcs Solo",,
3005005,Oil Separator,DF 5005 ,-,-,0,,,
3005026,Oil Separator,DF 5026,-,-,0,,,
3005045,Oil Separator,DF 5045,-,-,12,Jakarta,,
3005065,Oil Separator,DF 5065 = 5474-9247,-,-,6,"5pcs Jakarta, 1pcs Surabaya",,
3005066,Oil Separator,DF 5066,-,-,20,Jakarta,,
3005442,Oil Separator,54595442,-,-,2,Jakarta,,
3005610,Oil Separator,3989-5610,-,-,0,,,
3005781,Oil Separator,05V.21.B5781 = DB 2699,-,-,2,Jakarta,,
3007754,Oil Separator,1092-2034-07 = 1625-7754-00 = LB 13 145/7,-,-,4,Jakarta,,
3008163,Oil Separator,SH 8163,-,-,6,"5pcs Jakarta, 1pcs Surabaya",,
3009200,Oil Separator,2901-9200-40,-,-,7,"5pcs Jakarta, 2pcs  Surabaya",,
3009294,Oil Separator,2202-9294-00,-,-,2,Jakarta,,
3012008,Oil Separator,6.2008.0,-,-,10,"9pcs Jakarta, 1pcs Surabaya",,
3012011,Oil Separator,6.1963.0 = SOC 131027 = KV 110-003 = 6.2011.0/1,-,-,3,"1pcs Jakarta, 2pcs Surabaya",,
3012012,Oil Separator,6.2012.0 = 6.1960.0,-,-,5,"4pcs Jakarta, 1pcs Surabaya",,
3012017,Oil Separator,DB 2194,-,-,6,Jakarta,,
3012020,Oil Separator,6.2014.0/1 = 6.3511.0,-,-,1,Jakarta,,
3012024,Oil Separator,6.1965.0 = DB 2024 = 6.2013.0,-,-,6,"5pcs Jakarta, 1pcs Surabaya",,
3012025,Oil Separator,6.2015.0 = DB 2025,-,-,3,"2pcs Jakarta, 1pcs Surabaya",,
3012126,Oil Separator,6.3559.0/1 = DB 2126,-,-,3,Jakarta,,
3013569,Oil Separator,6.3569.0 = DC 3108,-,-,9,"2pcs Jakarta, 5pcs Surabaya, 2pcs Solo",,
3013571,Oil Separator,6.3571.0 = 6.3567.0,-,-,22,"18pcs Jakarta, 4pcs Surabaya",,
3013623,Oil Separator,6.3623.0,-,-,2,Surabaya,,
3013669,Oil Separator,3160305 = HPC 135.30.160.0305 = 6.3669.0 = NS 366940,-,-,14,"11pcs Jakarta, 3pcs Surabaya",,
3013672,Oil Separator,6.3672.0,-,-,0,,,
3013765,Oil Separator,6.3765.0,-,-,0,,,
3013789,Oil Separator,6.3789.0,-,-,2,"1pcs Jakarta, 1pcs Surabaya",,
3013792,Oil Separator,6.3792.0,-,-,8,"7pcs Jakarta, 1pcs Surabaya",,
3013795,Oil Separator,6.3795.0,-,-,0,,,
3014272,Oil Separator,6.4272.0,-,-,10,Jakarta,,
3014273,Oil Separator,6.4273.0,-,-,11,Jakarta,,
3032072,Oil Separator,92754688,-,-,10,"8pcs Jakarta, 2pcs Surabaya",,
3032108,Oil Separator,DB 2108,-,-,2,Jakarta,,
3032189,Oil Separator,DB 2189 = 8921-3011,-,-,5,Jakarta,,
